"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","DummyAPI.io API Testing","1","0","Get List of Tags","0"
"0","","0","DummyAPI.io API Testing","1","0","Get List of Users","0"
"0","","0","DummyAPI.io API Testing","1","0","Get User by ID","0"
"0","","0","DummyAPI.io API Testing","5","0","Invalid API usage","0"
"0","","0","DummyAPI.io API Testing","1","0","Create User","0"
"0","","0","DummyAPI.io API Testing","4","0","Create User with invalid body","0"
"0","","0","DummyAPI.io API Testing","1","0","Update User","0"
"0","","0","DummyAPI.io API Testing","1","0","Delete User","0"
